Model	 BlackBerry Curve 9370 	27
Model	 BlackBerry Curve 9360 	143
Model	 BlackBerry Curve 9350 	108
Model	 BlackBerry Curve 9330 	81
Model	 BlackBerry Curve 9310 	27
Model	 BlackBerry Curve 9300 	82
Model	 BlackBerry Curve 8530 	384
Model	 BlackBerry Curve 8520 	375
Model	 BlackBerry Bold 9790 	56
Model	 BlackBerry Bold 9780 	128
Model	 Galaxy Nexus 	220
Model	 HTC Droid Incredible 4G LTE	69
Model	 HTC Titan II 	5
Model	 HTC Evo 4G LTE 	354
Model	 HTC One 	2272
Model	 HTC One S 	144
Model	 HTC One V 	74
Model	 HTC One X 	334
Model	 HTC Windows Phone 8X	155
Model	 HTC Windows Phone 8S 	25
Model	 HTC Trophy 	32
Model	 HTC Titan 	14
Model	 HTC Rezound 	51
Model	 HTC Radar 	42
Model	 HTC Evo V 4G 	26
Model	 HTC Evo 4G 	419
Model	 HTC Evo 3D 	123
Model	 HTC Desire X 	9
Model	 HTC Desire V 	19
Model	 HTC Desire C 	144
Model	 LG Optimus Elite 	59
Model	 LG G2 	83
Model	 LG Xpression 	117
Model	 LG Viper 	51
Model	 LG Optimus Plus 	3
Model	 LG Optimus G 	473
Model	 LG Nitro HD 	22
Model	 LG Mach 	10
Model	 LG Lucid 	274
Model	 Motorola Moto X 	183
Model	 Motorola Electrify 2 	5
Model	 Motorola Electrify 	36
Model	 Motorola Droid X2 	264
Model	 Motorola Droid Razr Maxx	278
Model	 Motorola Droid Razr 	873
Model	 Motorola Droid Bionic 	196
Model	 Motorola Droid 4 	159
Model	 Motorola Defy 	87
Model	 Motorola Atrix 4G 	71
Model	 Nexus 5 	129
Model	 Nexus 4 	206
Model	 Nexus One 	14
Model	 Nexus S 	71
Model	 Nokia Lumia 928 	71
Model	 Nokia Lumia 925 	176
Model	 Nokia Lumia 920 	278
Model	 Nokia 808 	5
Model	 Nokia Lumia 900 	146
Model	 Nokia Lumia 822 	55
Model	 Nokia Lumia 820 	78
Model	 Nokia Lumia 810 	22
Model	 Nokia Lumia 800 	183
Model	 Nokia Lumia 710 	132
Model	 Nokia 700 	17
Model	 Nokia Lumia 620 	60
Model	 Nokia Lumia 610 	125
Model	 Nokia Lumia 510 	10
Model	 RAZR V3 	421
Model	 Samsung Stratosphere II 	2
Model	 Samsung Stratosphere 	153
Model	 Samsung Galaxy Note III	2028
Model	 Samsung Galaxy Note II	1225
Model	 Samsung Galaxy Note 	1482
Model	 Samsung Galaxy S 5 	3861
Model	 Samsung Galaxy S 4 	5102
Model	 Samsung Galaxy S III Mini	347
Model	 Samsung Galaxy S III 	6754
Model	 Samsung Galaxy S II 	1351
Model	 Samsung Focus 2 	224
Model	 ZTE Open 	425
Model	 Not Specified 	146732
Operating System	 Android 	79817
Operating System	 BlackBerry 10 	383
Operating System	 BlackBerry 3-7 	3240
Operating System	 Danger OS 	26
Operating System	 Firefox OS 	28
Operating System	 Fire OS 	109
Operating System	 HP/Palm WebOS 	385
Operating System	 iOS - Apple 	44490
Operating System	 Maemo 	10
Operating System	 Symbian 	976
Operating System	 Windows Mobile 	1842
Operating System	 Windows Phone 7 	134
Operating System	 Windows Phone 7.5 	139
Operating System	 Windows Phone 8 	1027
Operating System	 Not Specified 	123164
Style	 Bar 	90055
Style	 Flip 	7632
Style	 Slider 	5667
Style	 Swivel 	108
Style	 Not Specified 	148245
Contract	 Prepaid 	4399
Contract	 With Contract 	975
Contract	 Without Contract 	53370
Contract	 Not Specified 	215208
